Manuf;Model;Desc;Engine_Capacity;Fuel_Type;Powertrain;Euro_Standard;Diesel_VED_Supplement;Fuel_Cost;Electric_Cost;Total_Cost;Noise_Level
CHRYSLER JEEP;Compass;Trailhawk 1.3 GSE T4 PHEV 240hp E6D final AT eAWD;1332;Electricity / Petrol;Plug-in Hybrid Electric Vehicle (PHEV);Euro 6d;False;£484;£721;£1,205;67.0
CHRYSLER JEEP;Compass;Trailhawk 1.3 GSE T4 PHEV 240hp E6D final AT eAWD;1332;Electricity / Petrol;Plug-in Hybrid Electric Vehicle (PHEV);Euro 6d;False;£538;£757;£1,295;67.0
CHRYSLER JEEP;Compass;Upland 1.3 T4 PHEV 240hp E6D final AT eAWD;1332;Electricity / Petrol;Plug-in Hybrid Electric Vehicle (PHEV);Euro 6d;False;£484;£721;£1,205;67.0
CHRYSLER JEEP;Compass;Upland 1.3 T4 PHEV 240hp E6D final AT eAWD;1332;Electricity / Petrol;Plug-in Hybrid Electric Vehicle (PHEV);Euro 6d;False;£538;£757;£1,295;67.0
CHRYSLER JEEP;Compass;Upland 1.5 e-Hybrid DCT FWD - RHD;1469;Petrol Electric;Mild Hybrid Electric Vehicle (MHEV);Euro 6d;False;£1,532;£0;£1,532;68.0
CHRYSLER JEEP;Compass;Upland 1.5 e-Hybrid DCT FWD - RHD;1469;Petrol Electric;Mild Hybrid Electric Vehicle (MHEV);Euro 6d;False;£1,639;£0;£1,639;68.0
CHRYSLER JEEP;Renegade 4xe;Limited 1.3 Turbo 4xe PHEV AT6 190HP;1332;Electricity / Petrol;Plug-in Hybrid Electric Vehicle (PHEV);Euro 6d;False;£564;£1,009;£1,574;72.0
CHRYSLER JEEP;Renegade 4xe;Limited 1.3 Turbo 4xe PHEV AT6 190HP;1332;Electricity / Petrol;Plug-in Hybrid Electric Vehicle (PHEV);Euro 6d;False;£618;£1,086;£1,704;72.0
CHRYSLER JEEP;Renegade 4xe;Longitude 1.3 Turbo 4xe PHEV AT6 190HP;1332;Electricity / Petrol;Plug-in Hybrid Electric Vehicle (PHEV);Euro 6d;False;£564;£1,009;£1,574;72.0
CHRYSLER JEEP;Renegade 4xe;Longitude 1.3 Turbo 4xe PHEV AT6 190HP;1332;Electricity / Petrol;Plug-in Hybrid Electric Vehicle (PHEV);Euro 6d;False;£618;£1,086;£1,704;72.0
CHRYSLER JEEP;Renegade 4xe;Trailhawk 1.3 Turbo 4xe PHEV AT6 240HP;1332;Electricity / Petrol;Plug-in Hybrid Electric Vehicle (PHEV);Euro 6d;False;£591;£1,045;£1,637;71.0
CHRYSLER JEEP;Renegade 4xe;Trailhawk 1.3 Turbo 4xe PHEV AT6 240HP;1332;Electricity / Petrol;Plug-in Hybrid Electric Vehicle (PHEV);Euro 6d;False;£645;£1,100;£1,745;71.0
CHRYSLER JEEP;Renegade MY21;80TH ANNIVERSARY 1.0 T3 120hp MT FWD;999;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,747;£0;£1,747;66.0
CHRYSLER JEEP;Renegade MY21;80TH ANNIVERSARY 1.0 T3 120hp MT FWD;999;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,908;£0;£1,908;66.0
